name;intro;link;time;source;source_link
Разгромивший колонну ВСУ на запорожском направлении экипаж танка получит звезды Героев РФ;МОСКВА, 5 августа. /ТАСС/. Экипаж танка «Алеша», разгромивший колонну бронетехники Вооруженных сил Украины (ВСУ) на запорожском направлении, представлен к званию Героев России, сообщили журналистам в Минобороны РФ.;https://news.mail.ru/society/57300450/;2023-08-05T15:59:33+03:00;ТАСС;http://www.tass.ru/
В России начнут выпуск тяжелых дронов «Партизан»;Серийное производство тяжелых беспилотников «Партизан» планируют начать в 2024 году, сообщил Антон Рязанцев, председатель индустриального совета Центра НТИ по направлению «Технологии моделирования и разработки новых функциональных материалов с заданными свойствами», передает «РБК Новосибирск».;https://news.mail.ru/politics/57300331/;2023-08-05T15:12:44+03:00;РБК;https://www.rbc.ru/
В России начали производить дрон «Гастелло»;МОСКВА, 5 авг — РИА Новости. В России начали производить дрон-камикадзе «Гастелло», созданный с учетом пожеланий участников специальной военной операции, сообщил РИА Новости инженер-разработчик.;https://news.mail.ru/incident/57296769/;2023-08-05T10:49:42+03:00;© РИА Новости;http://www.ria.ru
Российские военные освободили Новоселовское в ЛНР;МОСКВА, 5 авг — РИА Новости. Российские военные освободили населенный пункт Новоселовское в ЛНР на Купянском направлении, сообщили в Минобороны.;https://news.mail.ru/incident/57299621/;2023-08-05T13:32:53+03:00;© РИА Новости;http://www.ria.ru
Бойцы группировки «Днепр» уничтожили скопление боевиков ВСУ;Российские военнослужащие группировки «Днепр» высокоточным ударом уничтожили скопление боевиков Вооруженных сил Украины (ВСУ) в низовьях Днепра. Кадры нанесения удара есть в распоряжении «Известия» в субботу, 5 августа. Была применена ракета «воздух — поверхность» по противнику, выявленному разведкой на одном из островов в низовьях реки.;https://news.mail.ru/incident/57298129/;2023-08-05T11:55:08+03:00;Известия;http://iz.ru/
;;https://sportmail.ru/news/football-foreign/57300390/;;;
Спецсчета отправляют на капремонт;В Госдуму внесен правительственный законопроект, ужесточающий контроль за целевым расходованием средств, находящихся на спецсчетах для финансирования капитального ремонта многоквартирных домов. Проектом предлагается создать публичный реестр протоколов собраний собственников, касающихся капремонта, а также ввести обязательный строительный контроль за работами в ремонтируемых домах. Эксперты отмечают, что проблемы в этой сфере есть — в частности, с поддельными протоколами собраний, которые предоставляются в банки для проведения платежей, — реестр может помочь исправить ситуацию, но его недостаточно. Обязательный же строительный контроль может привести к удорожанию капремонта.;https://news.mail.ru/politics/57295608/;2023-08-05T09:06:40+03:00;Газета Коммерсантъ;http://kommersant.ru/daily
Нетребко подала в суд на оперу в США за отмененные выступления;МОСКВА, 5 авг — РИА Новости. Российская оперная певица Анна Нетребко подала в суд на «Метрополитен-оперу» в Нью-Йорке и ее генерального менеджера Питера Гелба и потребовала выплатить компенсацию в размере 360 тысяч долларов за отмененные выступления, пишет Washington Post. Как отмечает издание, иск подали в суд Южного округа Нью-Йорка в пятницу.;https://news.mail.ru/society/57296480/;2023-08-05T04:44:45+03:00;© РИА Новости;http://www.ria.ru
Путин подписал закон о повышении призывного возраста;. Владимир Путин подписал федеральный закон с поправками в действующее законодательство, так с 1 января 2024 года призывной возраст повысится до 30 лет. Документ  на портале правовой информации.;https://news.mail.ru/politics/57290577/?utm_source=block_popular;2023-08-04T15:19:04+03:00;© РИА Новости;http://www.ria.ru
Картаполов перечислил, что будет считаться уклонением от мобилизации;Самовольное оставление воинской части мобилизованным и неявка в военкомат после получения повестки будет считаться уклонением от службы по мобилизации, заявил ТАСС глава думского комитета по обороне Андрей Картаполов. Он добавил, что законопроект могут принять в трех чтениях в осеннюю сессию, сейчас его еще не внесли в Думу. Если проект будет принят, то за уклонение будет грозить до 5 лет лишения свободы или штраф в размере до 500 тыс. руб.;https://news.mail.ru/politics/57293757/?utm_source=block_popular;2023-08-04T20:11:04+03:00;РБК;https://www.rbc.ru/
Опубликованы кадры уничтожения украинской бронетехники «Ланцетами» ВДВ РФ;Операторы беспилотных летательных аппаратов «Ланцет» уничтожили бронетехнику украинской армии. Кадры есть в распоряжении «Известий» 4 августа. Беспилотниками управляли бойцы Воздушно-десантных войск (ВДВ).;https://news.mail.ru/incident/57286200/?utm_source=block_popular;2023-08-04T18:23:50+03:00;Известия;http://iz.ru/
В ЭКОВАС заявили о разработке плана возможной интервенции в Нигере;Главнокомандующие оборонными ведомствами Западной Африки разработали план возможного военного вмешательства для пресечения переворота в Нигере. Об этом сообщает Reuters со ссылкой на комиссара по вопросам мира и безопасности ЭКОВАС (в него входят 15 государств региона) Абдель-Фатау Мусаха.;https://news.mail.ru/incident/57295089/?utm_source=block_popular;2023-08-04T21:17:43+03:00;Ведомости;https://www.vedomosti.ru/
Обнимающиеся на берегу реки медвежата попали на видео;Это дети известной жительницы американского заповедника, самки 026.;https://news.mail.ru/society/57289910/?utm_source=block_popular;2023-08-04T14:33:19+03:00;Новости Mail.ru;https://news.mail.ru
Украинские войска потеряли с начала контрнаступления более 43 тысяч военных; За июнь и июль, с начала контрнаступления, украинские войска потеряли свыше 43 тысяч человек, заявили в российском Минобороны.;https://news.mail.ru/politics/57290087/?utm_source=block_popular;2023-08-04T14:48:21+03:00;© РИА Новости;http://www.ria.ru
Шойгу вручил госнаграды военным в зоне спецоперации;МОСКВА, 5 авг — РИА Новости. Министр обороны России Сергей Шойгу вручил госнаграды и именное оружие российским военным, выполняющим боевые задачи в зоне спецоперации на краснолиманском направлении, сообщили в субботу в пресс-службе Минобороны.;https://news.mail.ru/politics/57297260/;2023-08-05T08:46:03+03:00;© РИА Новости;http://www.ria.ru
Захарова заявила о цели открытия посольств в Африке;МОСКВА, 5 авг — РИА Новости. Россия планирует обеспечить максимальную представленность в Африке, заявила РИА Новости официальный представитель МИД РФ Мария Захарова, комментируя планы открытия посольств на континенте.;https://news.mail.ru/politics/57296886/;2023-08-05T06:47:26+03:00;© РИА Новости;http://www.ria.ru
Мадуро обвинил Трампа в организации покушения на него в 2018 году;Президент Венесуэлы Николас Мадуро заявил, что покушение на него в 2018 году организовал лично Дональд Трамп, который на тот момент был президентом США. По его словам, американская администрация приказала сделать это колумбийским властям.;https://news.mail.ru/politics/57296695/;2023-08-05T06:10:56+03:00;Коммерсантъ;http://www.kommersant.ru
Антонов опроверг утверждения СМИ о попытках РФ затягивать СВО до выборов в США;Посол России в Вашингтоне пояснил, что у спецоперации есть определенные цели и задачи, и ее проведение не зависит от внутриполитической ситуации в Соединенных Штатах.;https://news.mail.ru/politics/57296574/;2023-08-05T05:30:23+03:00;ТАСС;http://www.tass.ru/
В Росавиации заявили о потребности в 100 тыс. операторов беспилотников;В первый год в рамках реализации проекта «Беспилотные авиационные системы» понадобятся 100 тыс. операторов дронов. Об этом заявил замглавы Росавиации Андрей Добряков в субботу, 5 августа. По его словам, в настоящее время ведомством зарегистрировано свыше 100 тыс. беспилотников, согласно примерным данным.;https://news.mail.ru/economics/57300805/;2023-08-05T17:42:18+03:00;Известия;http://iz.ru/
Решетников спрогнозировал рост ВВП России по итогам года более чем на 2%;БАРНАУЛ, 5 августа. /ТАСС/. Рост ВВП России по итогам 2023 года составит более 2%. Об этом сообщил журналистам министр экономического развития РФ Максим Решетников.;https://news.mail.ru/economics/57297384/;2023-08-05T10:24:48+03:00;ТАСС;http://www.tass.ru/
;;https://finance.mail.ru/2023-08-04/kak-otchitalsya-yandeks-v-preddverii-vozmozhnogo-razdeleniya-biznesa-57293282/;;;
;;https://finance.mail.ru/2023-08-04/budet-li-neft-brent-stoit-vyshe-100-dollarov-v-2023-godu-57292467/;;;
;;https://sportmail.ru/news/hockey-khl/57296864/;;;
Умер первый президент Якутии Михаил Николаев;ТАСС, 5 августа. Первый президент Республики Саха (Якутия) Михаил Николаев умер на 86-м году жизни. Об этом сообщил в Telegram-канале глава региона Айсен Николаев.;https://news.mail.ru/society/57296365/;2023-08-05T03:19:27+03:00;ТАСС;http://www.tass.ru/
Главные новости недели;Самое интересное и важное за неделю: дайджест Новостей Mail.ru.;https://news.mail.ru/society/57293482/;2023-08-04T18:06:13+03:00;Новости Mail.ru;https://news.mail.ru
В Самаре создали модель системы для предотвращения авиакатастроф;Студент Самарского университета имени Королева разрабатывает лазерную «сигнализацию», которая реагирует на воду в авиатопливе.;https://news.mail.ru/society/57293246/;2023-08-04T17:58:38+03:00;Новости Mail.ru;https://news.mail.ru
Флот обнаружил морской беспилотник у акватории Севастополя;В море неподалеку от Севастополя обнаружен движущийся морской беспилотник, сообщил глава Севастополя Михаил Развожаев. Сейчас флот пытается его уничтожить. Временно ограничено движение водного транспорта из Балаклавы и обратно, эвакуация с пляжей не требуется.;https://news.mail.ru/incident/57299049/;2023-08-05T12:30:27+03:00;РБК;https://www.rbc.ru/
Российские «Ланцеты» уничтожили две САУ «Гвоздика» ВСУ в ДНР;Начальник пресс-центра группировки «Восток» Олег Чехов 5 августа сообщил, что беспилотники-камикадзе «Ланцет» уничтожили две украинские самоходные артиллерийские установки (САУ) «Гвоздика» в Донецкой Народной Республике (ДНР).;https://news.mail.ru/incident/57297152/;2023-08-05T09:24:31+03:00;Известия;http://iz.ru/
В красноярском Канске после взрыва газа в доме введен режим ЧС;КРАСНОЯРСК, 5 авг — РИА Новости. Режим ЧС введен в Канске на востоке Красноярского края после взрыва газа в жилом доме, сообщается на сайте мэрии.;https://news.mail.ru/incident/57296996/;2023-08-05T07:20:29+03:00;© РИА Новости;http://www.ria.ru
В шести областях Украины объявили воздушную тревогу;;https://news.mail.ru/incident/57296720/;2023-08-05T06:08:04+03:00;© РИА Новости;http://www.ria.ru
